Year,Country,Age Group,F,M
2000,CRI,60-64,2.63912547,-2.541376122
2000,CRI,65-69,2.10237308,-1.937246781
2000,CRI,70-74,1.625558209,-1.415032432
2000,CRI,75-79,1.108058784,-0.901467178
2000,CRI,80+,1.228744474,-0.847108612
2005,CRI,0-4,8.247485397,-8.590161157
2005,CRI,5-9,9.051680972,-9.41474998
2005,CRI,10-14,9.600929937,-9.964227636
2005,CRI,15-19,9.777679817,-10.11102185
2005,CRI,20-24,9.014243878,-9.257390675
2005,CRI,25-29,8.026091783,-8.137630981
2005,CRI,30-34,7.110099686,-7.026993567
2005,CRI,35-39,7.314740201,-7.172298433
2005,CRI,40-44,7.275665234,-7.155682854
2005,CRI,45-49,6.157746811,-6.042997581
2005,CRI,50-54,4.718711715,-4.603678885
2005,CRI,55-59,3.916434791,-3.837035148
2005,CRI,60-64,2.937501579,-2.826323917
2005,CRI,65-69,2.317777285,-2.176966619
2005,CRI,70-74,1.783269176,-1.581831027
2005,CRI,75-79,1.301313387,-1.073589793
2005,CRI,80+,1.448628352,-1.027419894
2010,CRI,0-4,7.576525565,-7.909803622
2010,CRI,5-9,7.717119351,-8.048849102
2010,CRI,10-14,8.504173167,-8.856952819
2010,CRI,15-19,9.042123859,-9.387925113
2010,CRI,20-24,9.221455347,-9.51602316
2010,CRI,25-29,8.516429163,-8.709445977
2010,CRI,30-34,7.58348522,-7.653912835
2010,CRI,35-39,6.708100688,-6.600909378
2010,CRI,40-44,6.869704753,-6.70628387
2010,CRI,45-49,6.797525689,-6.648144715
2010,CRI,50-54,5.717728649,-5.567532793
2010,CRI,55-59,4.346151355,-4.193739028
2010,CRI,60-64,3.560979709,-3.43404826
2010,CRI,65-69,2.618406055,-2.458767214
2010,CRI,70-74,2.001010244,-1.811560227
2010,CRI,75-79,1.460126867,-1.226941152
2010,CRI,80+,1.758954318,-1.269160733
2015,CRI,0-4,7.20876036,-7.545113851
2015,CRI,5-9,7.144564511,-7.473376953
2015,CRI,10-14,7.2990061,-7.627693741
2015,CRI,15-19,8.053998823,-8.396350488
2015,CRI,20-24,8.567111496,-8.88350175
2015,CRI,25-29,8.739800394,-8.992962363
2015,CRI,30-34,8.068819601,-8.225006493
2015,CRI,35-39,7.176146391,-7.218463594
2015,CRI,40-44,6.33388034,-6.209941745
2015,CRI,45-49,6.459547326,-6.27458741
2015,CRI,50-54,6.357164236,-6.17201189
2015,CRI,55-59,5.308521947,-5.115211933
2015,CRI,60-64,3.989761691,-3.791542467
2015,CRI,65-69,3.211030952,-3.023462913
2015,CRI,70-74,2.294000475,-2.077525324
2015,CRI,75-79,1.67094983,-1.431563411
2015,CRI,80+,2.116935525,-1.541683673
2018,CRI,0-4,6.910408469,-7.246234739
2018,CRI,5-9,6.969123443,-7.303692459
2018,CRI,10-14,6.945845436,-7.274323401
2018,CRI,15-19,7.355570363,-7.685690267
2018,CRI,20-24,8.073068945,-8.394788953
2018,CRI,25-29,8.466795242,-8.742416161
2018,CRI,30-34,8.309088742,-8.505983245
2018,CRI,35-39,7.496918264,-7.59614265
2018,CRI,40-44,6.566197933,-6.528053252
2018,CRI,45-49,6.099837854,-5.925267352
2018,CRI,50-54,6.266543584,-6.057388098
2018,CRI,55-59,5.785824733,-5.569237553
2018,CRI,60-64,4.528732341,-4.297365307
2018,CRI,65-69,3.422267054,-3.188743408
2018,CRI,70-74,2.629974874,-2.390617266
2018,CRI,75-79,1.800365889,-1.541675453
2018,CRI,80+,2.373436834,-1.752380434
2000,DOM,0-4,11.6989261,-12.09857969
2000,DOM,5-9,11.68865797,-12.01916202
2000,DOM,10-14,11.05932093,-11.25794442
2000,DOM,15-19,10.36903756,-10.33454608
2000,DOM,20-24,9.44261085,-9.212097025
2000,DOM,25-29,8.483368704,-8.187535972
2000,DOM,30-34,7.529615513,-7.251957583
2000,DOM,35-39,6.571319739,-6.433750557
2000,DOM,40-44,5.486943622,-5.48552094
2000,DOM,45-49,4.367551761,-4.407787032
2000,DOM,50-54,3.371826994,-3.408811145
2000,DOM,55-59,2.687127218,-2.726940544
2000,DOM,60-64,2.391835653,-2.413981657
2000,DOM,65-69,1.893547403,-1.909110463
2000,DOM,70-74,1.337932699,-1.33881569
2000,DOM,75-79,0.846907849,-0.823248671
2000,DOM,80+,0.773469422,-0.690210517
2005,DOM,0-4,10.7879631,-11.08821949
2005,DOM,5-9,10.89345684,-11.16772702
2005,DOM,10-14,10.88837014,-11.08199089
2005,DOM,15-19,10.08312332,-10.24115173
2005,DOM,20-24,9.118176219,-9.278843937
2005,DOM,25-29,8.250274516,-8.225686004
2005,DOM,30-34,7.441091031,-7.319981983
2005,DOM,35-39,6.700865513,-6.486551578
2005,DOM,40-44,5.91740304,-5.753062887
2005,DOM,45-49,4.982998256,-4.89443397
2005,DOM,50-54,3.976185395,-3.923733961
2005,DOM,55-59,3.039524769,-2.994514242
2005,DOM,60-64,2.369805345,-2.325693719
2005,DOM,65-69,2.036051438,-1.97079464
2005,DOM,70-74,1.532556543,-1.466256176
2005,DOM,75-79,1.002898314,-0.935710575
2005,DOM,80+,0.979256214,-0.845647203
2010,DOM,0-4,10.03745346,-10.37529563
2010,DOM,5-9,9.983717776,-10.29816742
2010,DOM,10-14,10.12413461,-10.39843614
2010,DOM,15-19,10.16250541,-10.24956411
2010,DOM,20-24,9.241833988,-9.194615452
2010,DOM,25-29,8.071990496,-8.297314138
2010,DOM,30-34,7.349985805,-7.349292755
2010,DOM,35-39,6.698096349,-6.612146018
2010,DOM,40-44,6.060474286,-5.891584003
2010,DOM,45-49,5.367149335,-5.214775241
2010,DOM,50-54,4.509034946,-4.426004187
2010,DOM,55-59,3.57939722,-3.502048121
2010,DOM,60-64,2.698566821,-2.600800999
2010,DOM,65-69,2.037214085,-1.940227591
2010,DOM,70-74,1.671707882,-1.554052221
2010,DOM,75-79,1.173343041,-1.060394696
2010,DOM,80+,1.233394482,-1.035281274
2015,DOM,0-4,9.574123718,-9.949339148
2015,DOM,5-9,9.375323802,-9.731188781
2015,DOM,10-14,9.343148093,-9.682406559
2015,DOM,15-19,9.332766947,-9.635858488
2015,DOM,20-24,9.208076337,-9.297510747
2015,DOM,25-29,8.360406115,-8.291520694
