"","year","country","c_name","area","income"
"224",2009,"PER","Peru","Urban",476.73419117581
"225",2009,"PRY","Paraguay","Urban",1543068.8996998
"226",2009,"SLV","El Salvador","Urban",283.240702695676
"227",2009,"URY","Uruguay","Urban",6007.73225875983
"228",2009,"BOL","Bolivia","Rural",617.080942926861
"229",2009,"BRA","Brazil","Rural",619.79906276626
"230",2009,"CHL","Chile","Rural",301824.587229306
"231",2009,"COL","Colombia","Rural",312274.184485287
"232",2009,"CRI","Costa Rica","Rural",233953.758074562
"233",2009,"DOM","Dominican Republic","Rural",7760.92943861831
"234",2009,"ECU","Ecuador","Rural",187.489386885505
"235",2009,"PER","Peru","Rural",168.144161496893
"236",2009,"PRY","Paraguay","Rural",886431.041774489
"237",2009,"SLV","El Salvador","Rural",175.247013080485
"238",2009,"URY","Uruguay","Rural",4107.89196463487
"239",2010,"ARG","Argentina","Urban",959.040906145599
"240",2010,"COL","Colombia","Urban",760066.373418953
"241",2010,"CRI","Costa Rica","Urban",350751.522593186
"242",2010,"DOM","Dominican Republic","Urban",11684.0398953044
"243",2010,"ECU","Ecuador","Urban",370.646799717222
"244",2010,"GTM","Guatemala","Urban",2390.41664014787
"245",2010,"MEX","Mexico","Urban",3851.37704876008
"246",2010,"PER","Peru","Urban",506.437218227055
"247",2010,"PRY","Paraguay","Urban",1963239.95511598
"248",2010,"SLV","El Salvador","Urban",106.261164807682
"249",2010,"URY","Uruguay","Urban",6627.0120941504
"250",2010,"COL","Colombia","Rural",324266.705489118
"251",2010,"CRI","Costa Rica","Rural",250961.310225812
"252",2010,"DOM","Dominican Republic","Rural",8063.08962726798
"253",2010,"ECU","Ecuador","Rural",206.8440936635
"254",2010,"GTM","Guatemala","Rural",1245.2669757882
"255",2010,"MEX","Mexico","Rural",1524.20853007886
"256",2010,"PER","Peru","Rural",193.465362287022
"257",2010,"PRY","Paraguay","Rural",1046604.17027732
"258",2010,"SLV","El Salvador","Rural",45.4530663660218
"259",2010,"URY","Uruguay","Rural",4557.75138987459
"260",2011,"ARG","Argentina","Urban",1251.78972096537
"261",2011,"BOL","Bolivia","Urban",2131.40993451
"262",2011,"BRA","Brazil","Urban",1413.92496882723
"263",2011,"CHL","Chile","Urban",471897.336096265
"264",2011,"COL","Colombia","Urban",807933.090202166
"265",2011,"CRI","Costa Rica","Urban",416567.55010941
"266",2011,"DOM","Dominican Republic","Urban",12595.2908201556
"267",2011,"ECU","Ecuador","Urban",409.182180851064
"268",2011,"GTM","Guatemala","Urban",2526.96899493404
"269",2011,"PER","Peru","Urban",448.365116333457
"270",2011,"PRY","Paraguay","Urban",2071494.01022342
"271",2011,"SLV","El Salvador","Urban",284.827190700572
"272",2011,"URY","Uruguay","Urban",7394.1317382709
"273",2011,"BOL","Bolivia","Rural",813.329713693707
"274",2011,"BRA","Brazil","Rural",755.938390831346
"275",2011,"CHL","Chile","Rural",370158.772276555
"276",2011,"COL","Colombia","Rural",354524.671562678
"277",2011,"CRI","Costa Rica","Rural",275789.234890805
"278",2011,"DOM","Dominican Republic","Rural",8957.58643530067
"279",2011,"ECU","Ecuador","Rural",234.067900092507
"280",2011,"GTM","Guatemala","Rural",1505.50080579259
"281",2011,"PER","Peru","Rural",180.279409357002
"282",2011,"PRY","Paraguay","Rural",1221132.00985478
"283",2011,"SLV","El Salvador","Rural",182.658198366658
"284",2011,"URY","Uruguay","Rural",5127.64286864702
"285",2012,"ARG","Argentina","Urban",1550.31385656292
"286",2012,"BOL","Bolivia","Urban",2333.09679548
"287",2012,"BRA","Brazil","Urban",1573.33039660261
"288",2012,"COL","Colombia","Urban",830989.287925803
"289",2012,"CRI","Costa Rica","Urban",393899.545953768
"290",2012,"DOM","Dominican Republic","Urban",12451.8321723898
"291",2012,"ECU","Ecuador","Urban",441.630685514875
"292",2012,"GTM","Guatemala","Urban",2636.78261280395
"293",2012,"MEX","Mexico","Urban",4203.39236433566
"294",2012,"PER","Peru","Urban",490.336150234819
"295",2012,"PRY","Paraguay","Urban",1886681.0626984
"296",2012,"SLV","El Salvador","Urban",292.486064251117
"297",2012,"URY","Uruguay","Urban",8275.72471099769
"298",2012,"BOL","Bolivia","Rural",1022.28910402252
"299",2012,"BRA","Brazil","Rural",848.657457607567
"300",2012,"COL","Colombia","Rural",345508.573578151
"301",2012,"CRI","Costa Rica","Rural",266541.442675639
"302",2012,"DOM","Dominican Republic","Rural",8950.55277122415
"303",2012,"ECU","Ecuador","Rural",250.143721895538
"304",2012,"GTM","Guatemala","Rural",1361.38864094629
"305",2012,"MEX","Mexico","Rural",1763.25416586095
"306",2012,"PER","Peru","Rural",193.319369300937
"307",2012,"PRY","Paraguay","Rural",1017362.55288137
"308",2012,"SLV","El Salvador","Rural",192.582970640797
"309",2012,"URY","Uruguay","Rural",5983.80527173971
"310",2013,"ARG","Argentina","Urban",1973.91369095419
"311",2013,"BOL","Bolivia","Urban",2748.33970327966
"312",2013,"BRA","Brazil","Urban",1731.90806313525
"313",2013,"CHL","Chile","Urban",521234.961855089
"314",2013,"COL","Colombia","Urban",871915.677174561
"315",2013,"CRI","Costa Rica","Urban",426759.425616446
"316",2013,"DOM","Dominican Republic","Urban",13353.02750416
"317",2013,"ECU","Ecuador","Urban",486.858533272974
"318",2013,"GTM","Guatemala","Urban",2785.22068793151
"319",2013,"PER","Peru","Urban",521.479534557022
"320",2013,"PRY","Paraguay","Urban",2213054.86783574
"321",2013,"SLV","El Salvador","Urban",324.582141350438
"322",2013,"URY","Uruguay","Urban",9114.35226572648
"323",2013,"BOL","Bolivia","Rural",1194.02290964908
"324",2013,"BRA","Brazil","Rural",946.893358331913
"325",2013,"CHL","Chile","Rural",402204.544019825
"326",2013,"COL","Colombia","Rural",373634.424677457
"327",2013,"CRI","Costa Rica","Rural",276729.915011754
"328",2013,"DOM","Dominican Republic","Rural",9576.35702743031
"329",2013,"ECU","Ecuador","Rural",278.527318257702
"330",2013,"GTM","Guatemala","Rural",1504.60997097055
"331",2013,"PER","Peru","Rural",198.642123104152
"332",2013,"PRY","Paraguay","Rural",1217882.60681017
"333",2013,"SLV","El Salvador","Rural",201.996914813204
"334",2013,"URY","Uruguay","Rural",6546.95408385328
"335",2014,"ARG","Argentina","Urban",2555.47221927382
"336",2014,"BOL","Bolivia","Urban",2942.41450536646
"337",2014,"BRA","Brazil","Urban",1846.29280979236
"338",2014,"COL","Colombia","Urban",911542.989224658
"339",2014,"CRI","Costa Rica","Urban",436272.736195264
"340",2014,"DOM","Dominican Republic","Urban",14815.7502696843
"341",2014,"ECU","Ecuador","Urban",527.103668881663
